userName,score,at,content
Shaquile Zean,5,2026-05-05 06:48:23,mendukung
Hafidz Maulana,3,2026-05-05 05:39:56,tolong jadikan saat keluar dari aplikasi lagu tidak mati tanpa membeli premium :)
Didi supriadi Supriadi,5,2026-05-05 04:54:05,manttaaaaap
Aleh89 Aleh89,5,2026-05-05 04:07:45,baik
Ibnu Arg,1,2026-05-05 03:55:55,gabisa log in
Sisa mani Harefa,5,2026-05-05 01:52:47,baik
Aida Diva Nur Andini Putri,1,2026-05-05 01:18:36,"lirik nya tak sesuai dengan lagu, liriknya selalu berisi lirik lagu sebelum nya yang telah di putar. tolong diperbaiki lagi, sekelas YouTube musik loh, tapi selalu ada masalah, gak malu?"
mas parno,5,2026-05-05 00:33:56,lagu nya enak
Efrizal 3116,5,2026-05-04 23:45:34,Mantap
Ardiansyah Ferry A.,5,2026-05-04 23:35:19,baik
Zeinður Róesðison,4,2026-05-04 22:54:40,mantabek
Roy Sandy,3,2026-05-04 17:13:08,algoritma mix lagunya sampah banget
ARIF Susanto,5,2026-05-04 15:13:34,bug liriknya tolong segera di selesaikan minn
Fian Jack,4,2026-05-04 14:13:37,oke
27 Luther Jordan,1,2026-05-04 14:09:06,"algoritma bosan, musik yg diputar selanjutnya itu-itu saja kalau tidak sound tidak jelas. bahkan banyak publisher yang tidak jelas yang masih di rekomendasikan"
KADARTOPRAWIRAWIJAYA KADARTOPRAWIRAWIJAYA,5,2026-05-04 13:35:20,musik🤘🏻👍🏻
Ayu Fitriyani,1,2026-05-04 13:19:42,"akhir akhir ini apk nya kurang, kadang ga bisa di buka terus log out sendiri sama ga bisa mutar musik. selalu bilang periksa jaringan ini apk nya atau hp aku yang eror, pake data gabisa dibuka pake wifi juga sama gabisa."
Indah Permata sari,5,2026-05-04 12:37:52,👍💯
sintiaaprillia sintiaaprillia,2,2026-05-04 11:20:59,"sangat tidak jelas, saat akan melihat lirik musik, lirik nya tidak muncul. tolong di perbaiki"
Jerry danny,5,2026-05-04 09:03:47,selalu konsisten dan koleksi lagunya bisa di simpan bertahun2 dan di. koleksi tdk. kena kuota saat di putaran youtube music keren
mang “endum” endum,5,2026-05-04 07:56:44,"bagus musik ya cuma agak mahal untuk naik ke permium. ,😍😍😍😍"
Fikhriz Yudha,3,2026-05-04 07:21:12,"setelah update ui di bagian play music nya jadi banyak bug, lirik dan timing lagunya tidak pas dan paling parah lirik yang sebelumnya masih tetap ada dan tidak ganti automatis ke lagu selanjutnya. bug ini sangat merugikan pendengar dan bug ini juga masih ada di premium mode"
Hamsir Hamsir,5,2026-05-04 06:32:49,Bagus
Ivan Refiyanto Ully,5,2026-05-04 05:21:02,Matap sekali
Durratul Fitriya,1,2026-05-04 05:07:29,"Kenapa versi yang baru liriknya error terus, lagunya udah di ganti liriknya masih lirik lagu sebelumnya. udh berkali2 diuninstall gak berubah2 juga. kembalikan versi yang lama. yang lama lebih bagus."
Muhammad Suhaemi,5,2026-05-04 04:55:30,Bagus dan bermanfaat
Al Jefry,5,2026-05-04 04:37:06,oke
Mobil123,5,2026-05-04 02:15:17,Bagus
siem yoeng tjoeng,5,2026-05-04 02:12:08,Mudah menggunakannya dan akurat
yul Nis,1,2026-05-04 00:00:19,"saldoku terpotong gitu aja, tanpa sepengetahuan dan ijin hanya notifikasi dana terpotong doang yang ada"
Firdaus,5,2026-05-03 23:26:58,"cintaku sayangku, aku sekarang dah cerai sama spotipai dan pakai yutup musik, asli, kau adalah segalanya, kau punya semuanya, walau gak bisa keluar app saat memutar dimobile, tapi aku tetap cinta❤😘❤😘❤😘, soalnya make didekstop, xixiixixixixixixi pkl djarum"
Gagal Sarjana,1,2026-05-03 23:12:04,liriknya ketinggalan kocak
bara mahendra,5,2026-05-03 21:18:17,"Saya suka dan music, bagus banget, tidak banyak iklan."
Apaloet HRL,5,2026-05-03 20:50:28,asyik banget
Ujang,5,2026-05-03 15:27:52,bagus
Dicky Hendrik Rotty,5,2026-05-03 15:10:14,Mantap
Nuer Wan,3,2026-05-03 14:48:55,kbanyakan iklannya...boz...maaf kate ne yeh
Afizzz,5,2026-05-03 14:20:14,bug lirik diperbaiki
Ahmad Dasuki,5,2026-05-03 14:06:08,Good
Joko Samudra,5,2026-05-03 14:03:48,Mantep
Away Munawar,5,2026-05-03 13:34:14,mudah d jlnkan aplikasinya
Rindu listiawati,5,2026-05-03 12:58:48,mantap aplikasi super nyoss
naryasman950 yaman,5,2026-05-03 11:53:42,baik 👍
Arif,2,2026-05-03 11:29:06,ehh.. awalnya suka-suka aja.. kok ke sini-sini.. pas hp dimatiin gk bisa putar lagu? padahal kemarin-kemarin bisa loh.. lagu nyala sambil hape mati
Ananda Zidan,2,2026-05-03 11:18:09,saya sudah berlangganan di bbrp akun selama bbrp tahun namun di yt music. namun sangat disayangkan satu bulan terakhir saya tidak bisa menikmati lirik dari setiap lagu yang dulu tersedia
Bu Satiman,5,2026-05-03 10:33:06,"bagus, tp klo bisa tanpa iklan jadi enak ngedengerinnya"
Indraa,5,2026-05-03 10:09:41,"Selalu pakai YT Music dan berlangganan best audio nya juga joss, ui nya enak ga berat di HP kentang, pokonya keren."
Jupri Ajha,5,2026-05-03 09:28:46,bagus dan cepat
maulana 8899,5,2026-05-03 08:04:40,yang penting asik di telinga semua orang.dengarin lagu ya
Muhyiddien Sampoerna,2,2026-05-03 07:54:05,Setelah Update Lirik sering salah( malah lirik lagu sebelumnya.
sutopo jasmine,5,2026-05-03 07:37:02,sangat baik
Floretta Prame,3,2026-05-03 07:13:38,iya sih suaranya jernih dan algorithmanya bagus tapi kalo ga premium iklan terus setiap lagu selesai. mending kalo ada jeda kek 4 sampai 5 lagu baru iklan kan enak. mana mahal lagi harga premiumnya
LATIFAH NUR FADJRIAH,5,2026-05-03 05:29:37,"bagus, cocok bisa buat edukasi anak anak usia dini"
